ssID,Gender,Age,Education,Measure,ITEM (ITA),StimType,Response
1,F,36,21,PANAS+,Interessato,,5
1,F,36,21,PANAS-,Angosciato,,1
1,F,36,21,PANAS+,Eccitato,,3
1,F,36,21,PANAS-,Turbato,,1
1,F,36,21,PANAS+,Forte,,5
1,F,36,21,PANAS-,Colpevole,,1
1,F,36,21,PANAS-,Spaventato,,1
1,F,36,21,PANAS-,Ostile,,2
1,F,36,21,PANAS+,Entusiasta,,4
1,F,36,21,PANAS+,Orgoglioso,,4
1,F,36,21,PANAS-,Irritabile,,3
1,F,36,21,PANAS+,Concentrato,,5
1,F,36,21,PANAS-,Vergognato,,1
1,F,36,21,PANAS+,Ispirato,,4
1,F,36,21,PANAS-,Nervoso,,1
1,F,36,21,PANAS+,Determinato,,5
1,F,36,21,PANAS+,Attento,,5
1,F,36,21,PANAS-,Agitato,,2
1,F,36,21,PANAS+,Attivo,,5
1,F,36,21,PANAS-,Impaurito,,1
1,F,36,21,FCV-19S,Ho molta paura del coronavirus (COVID-19),,4
1,F,36,21,FCV-19S,Mi mette a disagio pensare al coronavirus (COVID-19),,3
1,F,36,21,FCV-19S,Le mie mani diventano sudate quando penso al coronavirus (COVID-19),,1
1,F,36,21,FCV-19S,Sono preoccupato/a di perdere la mia vita a causa del coronavirus (COVID-19),,4
1,F,36,21,FCV-19S,"Quando guardo le notizie e storie sul coronavirus (COVID-19) sui social media, divento nervoso e ansioso",,4
1,F,36,21,FCV-19S,Non riesco a dormire perché sono preoccupato di contrarre il coronavirus (COVID-19),,1
1,F,36,21,FCV-19S,Il mio cuore batte più velocemente o palpita quando penso di poter contrarre il coronavirus (COVID-19),,2
1,F,36,21,Valence,burro,REL+,7
1,F,36,21,Arousal,burro,REL+,4
1,F,36,21,Dominance,burro,REL+,5
1,F,36,21,Valence,autobus,REL-,2
1,F,36,21,Arousal,autobus,REL-,4
1,F,36,21,Dominance,autobus,REL-,3
1,F,36,21,Valence,affogare,UNREL,2
1,F,36,21,Arousal,affogare,UNREL,6
1,F,36,21,Dominance,affogare,UNREL,2
1,F,36,21,Valence,mondo,REL+,3
1,F,36,21,Arousal,mondo,REL+,6
1,F,36,21,Dominance,mondo,REL+,1
1,F,36,21,Valence,dormire,REL-,9
1,F,36,21,Arousal,dormire,REL-,6
1,F,36,21,Dominance,dormire,REL-,7
1,F,36,21,Valence,baco,UNREL,5
1,F,36,21,Arousal,baco,UNREL,4
1,F,36,21,Dominance,baco,UNREL,5
1,F,36,21,Valence,muffin,REL+,7
1,F,36,21,Arousal,muffin,REL+,5
1,F,36,21,Dominance,muffin,REL+,7
1,F,36,21,Valence,giacca,REL-,7
1,F,36,21,Arousal,giacca,REL-,4
1,F,36,21,Dominance,giacca,REL-,5
1,F,36,21,Valence,cannone,UNREL,3
1,F,36,21,Arousal,cannone,UNREL,6
1,F,36,21,Dominance,cannone,UNREL,3
1,F,36,21,Valence,notizie,REL+,2
1,F,36,21,Arousal,notizie,REL+,6
1,F,36,21,Dominance,notizie,REL+,2
1,F,36,21,Valence,hotel,REL-,2
1,F,36,21,Arousal,hotel,REL-,5
1,F,36,21,Dominance,hotel,REL-,3
1,F,36,21,Valence,cappio,UNREL,3
1,F,36,21,Arousal,cappio,UNREL,3
1,F,36,21,Dominance,cappio,UNREL,5
1,F,36,21,Valence,peste,REL+,2
1,F,36,21,Arousal,peste,REL+,6
1,F,36,21,Dominance,peste,REL+,3
1,F,36,21,Valence,tumore,REL-,1
1,F,36,21,Arousal,tumore,REL-,6
1,F,36,21,Dominance,tumore,REL-,1
1,F,36,21,Valence,corridore,UNREL,7
1,F,36,21,Arousal,corridore,UNREL,4
1,F,36,21,Dominance,corridore,UNREL,5
1,F,36,21,Valence,salute,REL+,7
1,F,36,21,Arousal,salute,REL+,6
1,F,36,21,Dominance,salute,REL+,2
1,F,36,21,Valence,vacanza,REL-,8
1,F,36,21,Arousal,vacanza,REL-,6
1,F,36,21,Dominance,vacanza,REL-,8
1,F,36,21,Valence,dipendente,UNREL,1
1,F,36,21,Arousal,dipendente,UNREL,4
1,F,36,21,Dominance,dipendente,UNREL,5
1,F,36,21,Valence,sole,REL+,6
1,F,36,21,Arousal,sole,REL+,6
1,F,36,21,Dominance,sole,REL+,3
1,F,36,21,Valence,viaggio,REL-,5
1,F,36,21,Arousal,viaggio,REL-,5
1,F,36,21,Dominance,viaggio,REL-,8
1,F,36,21,Valence,disturbare,UNREL,4
1,F,36,21,Arousal,disturbare,UNREL,4
1,F,36,21,Dominance,disturbare,UNREL,4
1,F,36,21,Valence,termometro,REL+,3
1,F,36,21,Arousal,termometro,REL+,6
1,F,36,21,Dominance,termometro,REL+,5
1,F,36,21,Valence,villaggio,REL-,7
1,F,36,21,Arousal,villaggio,REL-,4
1,F,36,21,Dominance,villaggio,REL-,3
1,F,36,21,Valence,fetore,UNREL,3
1,F,36,21,Arousal,fetore,UNREL,5
1,F,36,21,Dominance,fetore,UNREL,4
1,F,36,21,Valence,torta,REL+,8
1,F,36,21,Arousal,torta,REL+,6
1,F,36,21,Dominance,torta,REL+,3
1,F,36,21,Valence,matrimonio,REL-,9
1,F,36,21,Arousal,matrimonio,REL-,6
1,F,36,21,Dominance,matrimonio,REL-,8
1,F,36,21,Valence,firmamento,UNREL,7
1,F,36,21,Arousal,firmamento,UNREL,4
1,F,36,21,Dominance,firmamento,UNREL,3
1,F,36,21,Valence,casa,REL+,9
1,F,36,21,Arousal,casa,REL+,6
1,F,36,21,Dominance,casa,REL+,7
1,F,36,21,Valence,motore,REL-,5
1,F,36,21,Arousal,motore,REL-,4
1,F,36,21,Dominance,motore,REL-,5
1,F,36,21,Valence,funerale,UNREL,3
1,F,36,21,Arousal,funerale,UNREL,6
1,F,36,21,Dominance,funerale,UNREL,1
1,F,36,21,Valence,computer,REL+,8
1,F,36,21,Arousal,computer,REL+,4
1,F,36,21,Dominance,computer,REL+,9
1,F,36,21,Valence,palazzo,REL-,8
1,F,36,21,Arousal,palazzo,REL-,5
1,F,36,21,Dominance,palazzo,REL-,7
1,F,36,21,Valence,ladro,UNREL,3
1,F,36,21,Arousal,ladro,UNREL,6
1,F,36,21,Dominance,ladro,UNREL,3
1,F,36,21,Valence,corona,REL+,8
1,F,36,21,Arousal,corona,REL+,6
1,F,36,21,Dominance,corona,REL+,5
1,F,36,21,Valence,pantalone,REL-,7
1,F,36,21,Arousal,pantalone,REL-,4
1,F,36,21,Dominance,pantalone,REL-,6
1,F,36,21,Valence,malevolenza,UNREL,2
1,F,36,21,Arousal,malevolenza,UNREL,5
1,F,36,21,Dominance,malevolenza,UNREL,3
1,F,36,21,Valence,famiglia,REL+,8
1,F,36,21,Arousal,famiglia,REL+,6
1,F,36,21,Dominance,famiglia,REL+,2
1,F,36,21,Valence,piazza,REL-,8
1,F,36,21,Arousal,piazza,REL-,4
1,F,36,21,Dominance,piazza,REL-,4
1,F,36,21,Valence,mestolo,UNREL,7
1,F,36,21,Arousal,mestolo,UNREL,4
