,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9669"
aalbes,red currant,12,9,5,16,12,17,15,11,18,20,12,2,15,13,10,18,11,2,-1,11,12,6,8,1,6,14,1,20,11,5.656854249,27,,
aardbei,strawberry,20,18,20,20,20,20,18,16,20,20,16,16,17,16,20,20,15,20,20,19,14,20,15,18,18,20,17,14,18.10714286,2.114137346,28,,
abrikoos,apricot,20,12,18,16,15,20,18,15,20,20,14,18,20,15,18,16,12,9,20,13,19,19,12,16,10,10,7,20,15.78571429,3.900210278,28,,
ananas,pineapple,20,17,20,15,18,19,15,15,20,10,17,18,20,15,20,20,15,12,16,18,13,10,17,19,15,8,16,20,16.35714286,3.379834378,28,,
appel,apple,20,19,20,20,20,20,20,16,20,20,20,20,20,18,20,20,20,15,20,20,19,20,20,18,19,20,20,20,19.42857143,1.259881577,28,,
banaan,banana,20,18,20,20,20,20,20,16,20,20,20,20,20,18,20,20,16,11,20,20,19,20,19,18,18,18,20,20,18.96428571,1.971691187,28,,
bosbes,blueberry,10,9,1,10,14,20,19,13,19,20,12,14,18,13,20,20,14,6,20,15,14,13,8,1,8,14,1,20,13.07142857,5.981010514,28,,
braambessen,blackberry,10,10,1,16,15,20,18,13,20,20,12,12,18,13,20,20,11,10,20,15,14,15,12,12,10,18,7,20,14.35714286,4.762618994,28,,
citroen,lemon,20,17,9,1,14,20,10,15,20,20,18,18,20,17,20,20,15,1,20,19,12,12,4,1,17,14,1,20,14.10714286,6.762309959,28,,
clementine,mandarine,20,13,20,18,13,18,18,15,20,20,16,12,20,15,18,19,15,6,20,17,19,20,15,6,3,20,14,20,16.07142857,4.674030471,28,,
dadels,dates,10,8,1,2,7,8,6,10,17,2,4,8,15,15,8,12,10,4,12,13,9,5,5,6,2,15,3,19,8.428571429,4.9248318,28,,
druif,grape,20,17,20,20,17,20,19,15,20,20,20,15,20,15,20,20,15,6,20,18,15,19,15,14,10,20,14,20,17.28571429,3.526168237,28,,
framboos,raspberry,15,11,12,6,16,20,18,13,20,20,12,14,18,14,20,20,12,10,20,18,12,10,13,18,10,16,6,20,14.78571429,4.349177384,28,,
kers,cherry,15,18,13,20,17,20,13,15,20,20,16,12,20,14,20,20,14,12,20,18,14,20,17,19,16,20,16,20,17.10714286,2.884688644,28,,
kiwi,kiwi,20,18,15,5,16,20,16,15,20,20,16,16,20,18,20,20,12,6,20,15,19,11,17,18,15,20,19,20,16.67857143,4.055664273,28,,
kokosnoot,coconut,10,12,6,12,12,17,13,7,15,10,8,4,17,15,16,15,9,2,18,14,8,10,12,4,6,14,1,14,10.75,4.703229781,28,,
limoen,lime,15,10,14,1,13,18,17,14,19,15,18,10,20,14,20,16,15,1,18,18,17,13,12,3,11,14,4,20,13.57142857,5.520524475,28,,
lychee,lychee,20,10,15,10,10,19,12,13,17,5,14,6,17,16,20,10,12,2,20,17,7,15,5,13,5,20,1,20,12.53571429,5.840358581,28,,
mango,mango,20,17,12,16,11,20,13,16,19,20,14,9,20,16,20,20,10,13,16,9,17,17,10,10,9,20,3,20,14.89285714,4.685195642,28,,
meloen,melon,20,15,20,14,16,20,19,13,19,20,8,11,20,14,20,20,15,1,15,18,16,18,10,18,12,20,8,20,15.71428571,4.798588858,28,,
nectarine,nectarine,20,15,20,19,14,20,18,10,20,20,14,15,20,15,18,16,13,13,20,17,19,17,15,12,12,20,13,20,16.60714286,3.154529791,28,,
papaya,papaya,12,10,5,16,5,18,13,11,19,10,14,5,20,14,20,16,10,13,18,9,16,12,8,10,4,10,1,20,12.10714286,5.265817693,28,,
passievrucht,passion fruit,20,10,10,16,15,20,9,13,18,18,18,9,20,15,20,17,15,1,20,16,17,17,13,12,12,20,1,20,14.71428571,5.283497319,28,,
peer,pear,20,15,20,20,19,20,20,15,20,20,18,20,20,17,20,20,16,15,20,19,19,20,17,18,18,20,14,20,18.57142857,1.951800146,28,,
perzik,peach,10,15,20,20,15,20,18,15,20,20,14,13,20,14,20,16,13,4,20,17,18,16,18,18,16,20,16,20,16.64285714,3.723939429,28,,
pompelmoes,grapefruit,15,10,15,14,14,20,16,11,-1,20,10,12,20,15,20,19,14,4,20,13,16,18,15,12,15,20,4,20,14.88888889,4.534765988,27,,
pompoen,pumpkin,15,10,6,1,1,15,3,5,19,10,6,6,15,15,1,15,10,1,3,5,16,5,8,1,6,8,1,14,7.892857143,5.659075214,28,,
pruim,plum,20,12,20,15,16,20,19,13,20,20,4,12,20,16,20,20,13,6,20,15,16,17,15,16,14,20,7,20,15.92857143,4.586038163,28,,
sinaasappel,orange,20,18,20,20,20,20,18,16,20,20,20,20,20,18,20,20,15,13,20,20,19,20,18,19,19,20,16,20,18.89285714,1.832611691,28,,
vijg,fig,10,9,3,2,5,8,8,10,17,1,4,5,15,14,6,14,10,16,12,13,9,3,5,1,8,10,1,14,8.321428571,4.861439898,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
